,importance
Thought of harming myself has occurred to me,0.006102186523873255
"Do you feel comfortable discussing mental health [yes , with my husband]",0.005209727800089247
Things have been getting on top of me,0.0032686300758589582
The current pregnancy was,0.0027108433734939763
"Do you feel comfortable discussing mental health [yes , at all the community]",0.002666220437304767
Smoke Shish,0.0026550647032574813
I have blamed myself unnecessarily when things went wrong,0.0026439089692101734
Have you experienced any cultural stigma or judgment surrounding postpartum depression within your community,0.0019187862561356461
family problems?,0.0016398929049531497
got COVID-19 vaccine?,0.00139446675591256
Do you have access to healthcare services,0.00129964301651051
Residency,0.0012940651494868505
Baby had feeding difficluties,0.0012605979473449657
The nature of baby's feeding,0.0012048192771084542
"Do you feel comfortable discussing mental health [yes, with my physician]",0.0011936635430611297
comorbidities,0.0011267291387773437
I have been so unhappy that I have had difficulty sleeping,0.0010932619366354202
problems with husband?,0.0009705488621151281
Number of children who died,0.0009593931280678314
got COVID-19?,0.0007251227130744941
Number of miscarriges,0.000691655510932615
I have felt scared or panicky for no very good reason,0.0006804997768853182
I have been able to laugh and see the funny side of things,0.000635876840696098
Have you received any support or treatment for postpartum depression,0.0005800981704596031
Age (y),0.0005689424364123064
I have looked forward with enjoyment to things,0.0005354752342704106
Premature labour,0.0003904506916555084
Type of the last delivery,0.00025658188308789743
Do you suffer from any disease or mental or psychiatric disorder (choose all that applies),0.00022311468094599607
Smoke cigarattes,0.0001227130745203031
I have felt sad or miserable,0.0001227130745202698
Level of education,2.23114680945824e-05
Kgs gained during pregnancy,0.0
Baby age in months,0.0
Nationality,-1.1102230246251566e-17
financial problems?,-3.346720214192356e-05
I have been anxious or worried for no good reason,-7.809013833111611e-05
Healty baby,-0.00010040160642569296
Number of children alive,-0.00011155734047300636
What is the household income,-0.00014502454261491326
Postnatal problems?,-0.0003123605533244256
Natal problems?,-0.00040160642570281625
Pregnancy problem?,-0.0004127621597501241
Baby admitted in the NICU,-0.00046854082998663
Marital status,-0.0005689424364123174
Interpregnancy space,-0.0008143685854529292
"Do you feel comfortable discussing mental health [yes , with my family]",-0.0019968763944667512
Are you aware of the symptoms and risk factors associated with postpartum depression,-0.0022980812137438633
I have been so unhappy that I have been crying,-0.0029004908522981044
